Country,EA,EAM,EAF,AFF,ANE,AME,CY,SA,CP,LA,LCP,ARL,AGL
Comoros,34.99000168,36.81000137,32.38000107,32.6425071,50,240,1370,1861,38354,1861,27996,66000,1310
Cabo Verde,11.84000015,16.06999969,6.519999981,5.291984295,50,50,122.8,4030,3893,4030,31698,50000,790
Costa Rica,12.39999962,17.27000046,4.369999886,4.352029619,1570,2420,4293.7,51100,163669,51060,38118,252500,17825
Cuba,17.69000053,24.10000038,7.46999979,3.783108446,3180,7490,2876.5,109880,812374,103800,282416,2908600,63000
Cyprus,2.170000076,3.130000114,1.019999981,1.708412431,230,190,1955.3,9250,37225,9240,19038,104005,1309.47
Czech Republic,2.799999952,3.630000114,1.769999981,1.936644875,3690,3010,5200.4,78870,6975004,77200,1341236,2484000,35230
Germany,1.25,1.600000024,0.850000024,0.689013201,25690,32610,6219.9,357580,37955800,349380,6102278,11731000,166450
Djibouti,25.46999931,27.02000046,23.11000061,1.46380442,250,470,2104.7,23200,18,23180,9,2000,17020
Dominica,24.12561716,25.0602012,22.96248497,11.09751999,10,30,1628.9,750,191,750,117,6000,250
Denmark,2.190000057,3.299999952,0.959999979,1.026569351,4120,6090,4946.2,42920,7005294,40000,1416306,2392000,26320
Dominican Republic,9.329999924,14.28999996,1.519999981,5.147782819,3000,6220,3067.4,48670,672937,48310,219382,877000,24290
Ecuador,28.82999992,30.67000008,26.11000061,8.949269523,4340,8050,3935.8,256370,2711410,248360,688916,968000,54480
"Egypt, Arab Rep.",21.65999985,21.65999985,21.69000053,11.22500113,15540,15050,7148.5,1001450,22051537,995450,3084783,2910968.8,38359.688
Eritrea,63.75999832,59.18999863,69.12000275,10.50301984,1630,2990,652.4,117600,312655,101000,479205,690000,75920
Spain,4.199999809,5.889999866,2.170000076,2.757594167,16700,24660,4067.8,505957.289,24362945,499603.479,5989227,11884251.9,261833.239
Estonia,3.289999962,4.829999924,1.649999976,2.221009358,1200,640,2624.8,45340,919828,43470,350433,688000,10040
Finland,3.710000038,5.230000019,2.069999933,2.386622578,3720,2210,3012.8,338450,2733533,303920,907300,2244000,22720
